지 역,,,,2011년,2012년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
,,,,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
,,이천시,,89.81,90.281,89.155,92.062,95.566,101.273,103.167,103.048,101.305,96.115,95.433,112.32
,,여주시,,-,103.235,102.391,104.757,105.843,108.128,110.165,110.76,108.083,100.659,98.044,107.191
,경의권,,,-,78.804,73.022,71.883,74.044,80.059,81.531,83.464,83.154,81.141,90.832,107.224
,,김포시,,78.829,78.796,71.969,71.348,73.382,81.317,82.158,84.576,85.384,84.253,97.197,105.589
,,고양시,,74.953,74.713,69.906,68.87,71.378,77.108,78.844,80.657,80.56,78.466,87.891,107.998
,,,덕양구,67.981,67.788,64.362,63.811,65.724,71.382,72.969,74.678,76.902,75.327,86.688,108.73
,,,일산동구,75.166,75.201,71.88,69.765,73.102,79.396,81.968,83.641,81.939,80.144,88.692,107.397
,,,일산서구,83.36,82.886,75.302,74.438,77.074,82.534,83.892,85.926,84.024,81.111,88.773,107.547
,,파주시,,92.02,91.226,82.937,80.987,82.007,86.829,88.073,89.835,87.58,84.763,91.16,107.192
,경원권,,,-,86.756,82.548,79.542,79.754,83.142,85.057,86.357,85.857,84.584,88.132,108.208
,,포천시,,-,97.066,94.077,94.621,95.418,98.857,100.025,101.295,97.469,95.387,94.596,109.042
,,동두천시,,100.658,100.658,93.382,88.973,89.3,90.035,91.601,93.556,92.297,90.211,89.009,107.546
,,양주시,,90.403,89.462,83.943,81.297,80.807,84.149,86.58,87.78,87.063,83.837,87.131,109.763
,,의정부시,,83.092,81.666,78.367,74.976,75.388,79.289,81.151,82.366,82.54,82.42,87.514,107.443
인천,,,,76.39,76.239,72.22,72.113,74.38,78.16,79.221,80.398,80.294,80.509,88.213,109.837
,중구,,,92.492,92.492,86.816,83.104,88.006,90.939,91.828,91.665,88.779,86.738,91.004,107.08
,동구,,,91.968,91.968,88.479,86.291,88.421,91.782,93.065,94.345,93.326,92.096,93.633,106.226
,미추홀구,,,82.826,82.652,79.031,77.917,78.844,82.078,83.044,84.537,85.098,85.175,90.932,108.39
,연수구,,,66.156,65.837,62.803,63.994,66.511,70.976,71.478,73.27,72.725,71.517,81.767,113.215
,남동구,,,78.628,78.581,75.965,74.887,76.347,79.063,79.829,80.836,81.222,81.359,89.266,107.647
,부평구,,,72.65,72.46,68.4,68.124,70.912,75.523,77.618,78.818,78.866,80.284,89.3,110.733
,계양구,,,78.346,78.237,74.21,74.668,77.681,81.197,82.318,83.692,83.399,85.536,90.494,111.426
,서구,,,77.828,77.722,71.405,72.084,74.154,78.113,78.908,79.546,79.563,79.659,87.767,109.288
부산,,,,84.374,84.285,81.105,80.612,81.971,85.9,89.488,91.305,88.042,85.632,92.408,105.629
,중부산권,,,-,81.581,80.288,79.482,81.372,86.1,89.49,91.306,88.423,86.43,93.662,104.257
,,중구,,95.071,95.071,94.599,94.841,96.01,98.737,101.122,104.102,101.477,99.148,97.809,101.997
,,서구,,93.559,93.559,93.134,93.033,93.88,97.179,99.465,101.703,99.287,95.65,96.721,102.427
,,동구,,88.745,89.098,89.343,90.052,91.541,95.482,98.354,100.056,96.432,94.08,95.897,103.179
,,영도구,,101.042,101.042,97.918,97.451,98.41,100.375,101.738,102.96,99.526,96.489,96.285,103.402
,,부산진구,,82.462,82.5,80.492,79.868,81.922,87.134,90.172,92.116,89.154,85.984,93.912,103.654
,,남구,,76.175,76.534,76.034,73.962,76.321,81.851,85.608,87.874,84.852,83.848,91.986,102.268
,,연제구,,76.827,76.763,75.815,75.383,77.24,82.172,86.532,87.729,85.005,83.689,91.996,107.29
,,수영구,,75.951,75.734,74.464,74.149,75.75,79.775,83.622,85.217,82.844,82.377,94.104,107.213
,동부산권,,,-,79.446,76.327,75.449,76.482,81.047,85.391,86.73,83.31,81.653,90.919,107.58
,,해운대구,,74.738,74.836,70.7,69.281,70.375,75.305,79.937,80.697,76.829,76.234,89.983,110.236
,,금정구,,83.886,83.886,81.796,81.711,82.902,87.007,89.949,92.045,89.066,87.069,92.77,103.848
,,동래구,,80.723,80.782,78.534,78.362,79.157,83.144,87.776,89.565,86.617,84.138,92.894,105.923
,,기장군,,83.446,84.12,83.586,82.685,83.492,87.877,92.331,94.047,91.101,87.564,88.289,107.45
,서부산권,,,-,93.677,87.77,88.216,89.242,91.27,94.153,96.558,93.008,89.181,92.517,105.231
,,북구,,93.807,93.593,87.309,89.612,90.937,92.473,95.356,97.575,94.243,89.97,93.23,105.511
,,강서구,,-,91.263,88.429,83.968,84.447,85.658,88.153,91.348,87.698,84.997,90.345,104.353
,,사상구,,92.241,92.733,89.499,88.906,89.96,93.309,96.034,97.819,94.035,90.233,93,105.208
,,사하구,,97.527,95.796,87.966,88.01,88.823,90.571,93.666,96.516,92.921,89.161,92.241,105.285
대구,,,,61.644,63.01,65.619,73.206,78.979,86.089,83.403,83.876,86.522,86.44,92.557,100.567
,중구,,,62.694,63.682,65.281,67.901,69.944,75.44,74.262,75.934,81.98,85.345,91.922,99.901
,동구,,,64.66,66.62,69.289,76.308,83.497,90.829,88.617,89.185,89.986,90.041,92.825,100.056
,서구,,,63.921,64.824,67.687,71.467,76.137,81.45,80.544,80.754,82.874,85.823,93.423,100.178
,남구,,,60.675,61.017,63.727,71.812,77.917,88.539,84.726,85.251,87.284,90.835,94.905,100.512
,북구,,,67.156,68.298,71.127,82.784,87.36,96.736,93.379,92.843,94.105,93.222,94.515,100.36
,수성구,,,50.098,51.67,52.283,57.193,63.956,71.054,69.148,71.341,77.965,77.956,89.812,101.405
,달서구,,,61.099,62.466,65.778,73.651,78.927,85.039,82.195,81.977,83.541,83.635,92.501,100.245
,달성군,,,73.438,74.238,80.605,89.171,94.485,97.91,93.365,92.83,93.546,91.405,92.9,101.084
광주,,,,79.018,79.837,82.059,83.005,84.819,91.03,91.252,91.997,95.206,94.797,96.39,105.705
,동구,,,80.238,80.49,85.201,86.179,88.706,94.276,94.396,94.106,95.852,95.053,97.089,102.978
,서구,,,76.97,77.68,80.689,81.835,84.974,90.855,90.838,91.719,95.986,96.391,97.678,105.013
,남구,,,75.956,76.985,79.707,80.799,82.619,88.104,88.851,90.27,95.183,94.009,96.034,104.36
,북구,,,84.355,85.831,87.992,88.613,89.631,95.977,96.448,95.993,95.926,95.059,96.257,106.704
,광산구,,,76.668,76.868,77.905,78.933,80.308,87.045,86.974,88.608,93.692,93.583,95.553,106.446
대전,,,,70.754,70.458,68.167,68.543,68.916,69.075,69.133,70.211,71.94,77.744,91.844,105.238
,동구,,,73.261,73.064,71.699,72.251,73.599,74.806,75.317,76.666,76.438,80.146,93.341,105.888
,중구,,,70.243,70.441,69.789,69.58,69.585,70.962,70.999,72.069,72.867,80.457,91.86,105.526
,서구,,,70.98,70.674,67.455,67.42,67.299,66.927,66.88,68.092,71.471,77.472,91.851,104.618
,유성구,,,67.139,66.36,62.947,64.082,64.16,63.626,63.608,64.374,66.369,73.648,90.562,105.458
,대덕구,,,77.83,77.717,77.457,78.118,80.158,80.802,80.933,82.04,80.933,81.864,93.011,105.551
울산,,,,88.858,89.948,92.815,93.026,96.45,100.468,101.013,98.676,88.879,85.618,94.612,104.414
,중구,,,77.698,78.777,80.192,81.856,85.364,93.213,96.421,95.199,86.69,83.642,92.981,102.591
,남구,,,82.002,82.579,82.188,82.001,85.263,87.506,89.208,88.558,81.741,80.804,95.474,104.267
,동구,,,102.623,106.186,117.021,115.353,123.715,123.726,117.007,112.593,98.71,93.453,95.871,106.194
,북구,,,96.852,97.822,102.901,102.629,103.796,108.472,108.861,103.193,89.263,84.399,93.587,104.49
